"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
178683	4989.83	19553.4	53.1678	378.89	378890	287.282	4629.13	4320.52	51846.2	0.061099	0.09
206980	606600	1575.72	864.961	67.6408	67640.8	165.87	8073.98	7535.71	90428.6	0.0368162	0.09
207475	609195	1568.38	867.314	67.5988	67598.8	165.8	8077.49	7538.99	90467.8	0.0367994	0.09
208609	83829.5	9214.44	402.793	127.38	127380	255.433	6569.91	6131.92	73583	0.0453416	0.09
187623	39968.8	12735.6	273.193	179.881	179881	285.437	6065.12	5660.78	67929.3	0.0488812	0.09
207466	609149	1568.51	867.273	67.5995	67599.5	165.801	8077.43	7538.93	90467.2	0.0367997	0.09
171804	4425.26	20411.2	49.052	398.343	398343	284.759	4459.02	4161.76	49941.1	0.0627568	0.09
209248	618337	1543.06	875.624	67.4544	67454.4	165.56	8089.71	7550.39	90604.7	0.036741	0.09
173655	4564.88	20179.6	50.0772	393.389	393389	285.442	4503.89	4203.63	50443.6	0.0623155	0.09
200814	572183	1679.98	833.988	68.2422	68242.2	166.882	8025.64	7490.6	89887.2	0.0370487	0.09
182824	5406.88	19037.1	56.1758	365.682	365682	288.773	4736.64	4420.87	53050.4	0.060073	0.09
214912	188978	5458.44	547.094	93.6742	93674.2	212.009	7089.2	6616.58	79399	0.0420769	0.09
