"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.0521198	33759	13402.2	243.979	525.685	525685	322.029	6628.86	6186.94	74243.3	0.0918492	0.0521198	18028.5	184629	0.11
0.165679	666339	1411.29	917.487	87.7751	87775.1	248.685	12341.6	11518.8	138226	0.0412885	0.165679	21302.4	218157	0.11
0.05538	23775.1	14641	189.053	523.197	523197	313.986	6112.02	5704.56	68454.7	0.089981	0.05538	18162.4	186001	0.11
0.0516397	31508.5	13677.7	232.81	526.023	526023	320.159	6506.77	6072.98	72875.8	0.0921219	0.0516397	18008.8	184427	0.11
0.0798258	246744	4213.54	582.4	488.824	488824	443.476	16485.7	15386.7	184640	0.0758489	0.0798258	19141.1	196024	0.11
0.152406	172850	5836.2	530.341	122.03	122030	280.092	9089.13	8483.19	101798	0.0449083	0.152406	21090.1	215983	0.11
0.0674356	269677	3843.85	596.731	510.412	510412	453.333	17431	16268.9	195227	0.0829565	0.0674356	18656.4	191060	0.11
0.0889427	69815	10019.2	367.005	464.813	464813	349.612	8574.72	8003.07	96036.9	0.0708627	0.0889427	19472.5	199417	0.11
0.197892	163190	6164.83	525.93	63.2339	63233.9	114.204	3613.25	3372.37	40468.4	0.0343686	0.197892	21699.9	222228	0.11
0.163472	105688	8154.81	446.913	91.9332	91933.2	184.904	5084.18	4745.24	56942.8	0.0418554	0.163472	21269.4	217819	0.11
0.104417	82031.5	9243.35	395.47	401.827	401827	356.263	9147.28	8537.46	102450	0.063076	0.104417	19976.1	204575	0.11
0.131334	180596	5597.71	534.257	231.217	231217	388.153	12835.1	11979.4	143753	0.0518162	0.131334	20676.2	211745	0.11
0.0808957	244961	4244.32	581.26	486.417	486417	442.667	16410.3	15316.3	183795	0.0752509	0.0808957	19181.2	196434	0.11
0.134331	104572	8110.64	439.738	211.951	211951	343.15	9462.72	8831.88	105983	0.0507382	0.134331	20741.6	212414	0.11
0.044046	5260.7	19195.9	55.0895	530.542	530542	291.68	4758.02	4440.82	53289.8	0.0963202	0.044046	17703.3	181299	0.11
0.150921	108199	7996.43	448.445	127.437	127437	266.319	7399.49	6906.19	82874.3	0.0453462	0.150921	21064.2	215718	0.11
0.178959	106976	8130.98	451.004	71.6351	71635.1	128.209	3530.79	3295.41	39544.9	0.0381471	0.178959	21484.2	220019	0.11
0.03906	5064.46	19442.7	53.6767	532.79	532790	290.73	4702.43	4388.93	52667.2	0.0989149	0.03906	17511.6	179335	0.11
0.0531793	304113	3371.34	617.928	524.914	524914	466.586	18764	17513.1	210157	0.091245	0.0531793	18071.9	185074	0.11
0.0469846	5388.81	19045	56.0102	528.967	528967	292.269	4792.66	4473.15	53677.8	0.094725	0.0469846	17820	182494	0.11
0.104482	82082.9	9240.36	395.581	401.494	401494	356.284	9149.49	8539.52	102474	0.0630451	0.104482	19978.1	204595	0.11
0.10416	211333	4886.53	558.411	403.136	403136	425.233	14906.8	13913	166956	0.0631978	0.10416	19968.4	204495	0.11
0.125816	185988	5461.53	538.699	268.317	268317	400.346	13383.5	12491.3	149895	0.05389	0.125816	20549.7	210449	0.11
0.0882858	233311	4453.19	573.667	466.828	466828	437.181	15909.3	14848.7	178184	0.071213	0.0882858	19449.4	199181	0.11
