"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.113758	88638.5	8881.03	409.603	272.977	272977	350.043	9189.58	8576.94	102923	0.0541545	0.113758	20243.5	207313	0.1
0.0747068	58221.6	10900.8	335.498	483.4	483400	341.387	7970.5	7439.13	89269.6	0.0745385	0.0747068	18945.1	194016	0.1
0.0680755	52528.2	11398.2	317.865	498.727	498727	337.186	7665.81	7154.75	85857	0.0786494	0.0680755	18682.2	191324	0.1
0.0663246	6528.53	17988.6	64.2085	502.092	502092	296.422	5047.8	4711.28	56535.4	0.079755	0.0663246	18611.5	190599	0.1
0.120617	93059	8658.03	418.702	222.469	222469	340.593	9067.19	8462.71	101553	0.0513283	0.120617	20422.8	209150	0.1
0.0219513	4576.4	20150.6	50.1377	537.095	537095	288.089	4550.02	4246.69	50960.3	0.105449	0.0219513	16960.5	173692	0.1
0.169585	99832.8	8470.34	439.033	66.9795	66979.5	114.11	3074.24	2869.29	34431.4	0.0365424	0.169585	21358.8	218735	0.1
0.0931778	73093.3	9798.3	375.094	411.376	411376	350.537	8708.16	8127.62	97531.4	0.0639919	0.0931778	19617.9	200906	0.1
0.0518308	32699.2	13531.4	238.8	521.816	521816	321.099	6570.12	6132.11	73585.3	0.0890361	0.0518308	18016.6	184508	0.1
0.139233	97033.4	8521.56	429.406	119.43	119430	246.756	6626.16	6184.42	74213	0.0446896	0.139233	20843.6	213459	0.1
0.125145	644167	1435.04	891.474	191.703	191703	476.084	23560.3	21989.6	263876	0.0495796	0.125145	20533.8	210286	0.1
0.150367	187816	5492.44	546.62	88.2668	88266.8	195.223	6510.05	6076.05	72912.5	0.0413587	0.150367	21054.4	215618	0.1
0.1104	86237.9	9009.4	404.592	298.18	298180	352.017	9168.33	8557.11	102685	0.0556185	0.1104	20150.5	206360	0.1
0.0791013	248008	4192.02	583.219	470.603	470603	443.6	16522.3	15420.8	185050	0.0718968	0.0791013	19113.8	195744	0.1
0.0365158	4974.03	19563.3	53.0243	532.333	532333	290.258	4675.51	4363.81	52365.8	0.0983524	0.0365158	17417.8	178375	0.1
0.0838023	65663.1	10316.9	356.321	454.147	454147	346.392	8352.95	7796.09	93553	0.0691572	0.0838023	19288.6	197534	0.1
0.0132312	4433.26	20387.5	49.0888	538.508	538508	287.239	4501.36	4201.27	50415.2	0.108297	0.0132312	16776.7	171809	0.1
0.123163	94424.9	8593.57	421.544	204.812	204812	334.363	8937.71	8341.86	100102	0.0503338	0.123163	20485.9	209796	0.1
0.139261	97030	8521.85	429.407	119.329	119329	246.556	6620.66	6179.29	74151.4	0.0446809	0.139261	20844.2	213464	0.1
0.131226	97105.6	8483.59	427.734	155.732	155732	300.594	8091.47	7552.04	90624.5	0.0473701	0.131226	20673.8	211720	0.1
0.139431	97008.8	8523.7	429.41	118.695	118695	245.297	6586.09	6147.02	73764.2	0.0446266	0.139431	20847.6	213500	0.1
0.0635568	19026.9	15208.9	157.553	506.908	506908	310.448	5897.68	5504.5	66054	0.0815155	0.0635568	18498.8	189445	0.1
0.0754211	14709.2	15708.4	126.018	481.475	481475	307.308	5717.68	5336.5	64038	0.0741042	0.0754211	18972.8	194300	0.1
0.0966538	221465	4680.63	565.678	391.882	391882	429.305	15316.5	14295.4	171545	0.0621841	0.0966538	19733	202085	0.1
0.116144	90268.5	8796.64	412.966	255.101	255101	347.738	9177.19	8565.38	102785	0.0531466	0.116144	20307.5	207968	0.1
0.0710411	16167.7	15536.9	136.927	492.409	492409	308.409	5778.98	5393.71	64724.6	0.0767946	0.0710411	18800.8	192539	0.1
0.041162	5143.96	19340.4	54.2497	529.906	529906	291.102	4724.99	4409.99	52919.8	0.0956565	0.041162	17591.3	180151	0.1
0.124446	190880	5354.03	543.627	196.256	196256	376.811	12706.8	11859.7	142317	0.0498436	0.124446	20517	210114	0.1
0.0724104	15702.9	15590.7	133.475	489.207	489207	308.067	5759.7	5375.72	64508.6	0.0759467	0.0724104	18855.1	193094	0.1
0.0728443	259121	4008.19	590.205	488.153	488153	448.628	16990.7	15858	190295	0.0756793	0.0728443	18872.1	193269	0.1
0.0600646	44961.5	12137	291.505	512.198	512198	331.241	7249.73	6766.42	81197	0.0837526	0.0600646	18355.5	187978	0.1
0.089056	69849.1	10017.5	367.117	431.912	431912	348.867	8557.3	7986.81	95841.8	0.0662117	0.089056	19476.4	199457	0.1
0.0788043	248512	4183.43	583.539	471.543	471543	443.836	16543.9	15440.9	185291	0.0720729	0.0788043	19102.5	195628	0.1
0.11549	198697	5165.69	549.24	259.98	259980	404.418	13850	12926.7	155120	0.0534201	0.11549	20290.1	207790	0.1
0.0941941	73888.4	9746.17	377.002	405.882	405882	350.904	8743.87	8160.94	97931.3	0.0634572	0.0941941	19651.9	201254	0.1
