"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.139261	95115.2	8628.08	426.406	111.202	111202	228.898	6105.22	5698.21	68378.5	0.0439551	0.139261	20844.2	213464	0.09
0.131226	95751	8558.06	425.622	145.424	145424	287.849	7711.71	7197.6	86371.1	0.0466742	0.131226	20673.8	211720	0.09
0.139431	95089.8	8630.2	426.402	110.618	110618	227.604	6069.88	5665.23	67982.7	0.0439003	0.139431	20847.6	213500	0.09
0.0635568	19027.3	15208.8	157.556	506.088	506088	310.438	5897.49	5504.33	66051.9	0.081199	0.0635568	18498.8	189445	0.09
0.0754211	14710.3	15708.3	126.027	479.649	479649	307.28	5717.18	5336.03	64032.4	0.0737053	0.0754211	18972.8	194300	0.09
0.0966538	221495	4680.13	565.709	385.645	385645	429.006	15306.5	14286.1	171433	0.0616528	0.0966538	19733	202085	0.09
0.116144	90018.9	8811.55	412.558	243.776	243776	345.009	9096.68	8490.24	101883	0.0525149	0.116144	20307.5	207968	0.09
0.0710411	16168.5	15536.9	136.933	491.041	491041	308.39	5778.63	5393.39	64720.7	0.0764256	0.0710411	18800.8	192539	0.09
0.041162	5143.95	19340.4	54.2496	529.75	529750	291.101	4724.96	4409.96	52919.5	0.0954972	0.041162	17591.3	180151	0.09
0.124446	191809	5334.91	544.632	184.815	184815	369.608	12483.4	11651.1	139814	0.0491752	0.124446	20517	210114	0.09
0.0724104	15703.8	15590.7	133.481	487.709	487709	308.045	5759.31	5375.35	64504.3	0.0755683	0.0724104	18855.1	193094	0.09
0.0728443	259125	4008.14	590.208	486.611	486611	448.596	16989.5	15856.9	190283	0.075298	0.0728443	18872.1	193269	0.09
0.0600646	44960.8	12137	291.503	511.555	511555	331.232	7249.5	6766.2	81194.5	0.083461	0.0600646	18355.5	187978	0.09
0.089056	69840.6	10018.2	367.099	427.711	427711	348.746	8553.98	7983.72	95804.6	0.0657252	0.089056	19476.4	199457	0.09
0.0788043	248518	4183.36	583.544	469.273	469273	443.782	16542	15439.2	185270	0.0716515	0.0788043	19102.5	195628	0.09
0.11549	89601.1	8832.87	411.688	248.74	248740	345.937	9109.04	8501.77	102021	0.0527914	0.11549	20290.1	207790	0.09
0.0941941	73873.4	9747.31	376.973	400.354	400354	350.697	8738.12	8155.58	97866.9	0.0629401	0.0941941	19651.9	201254	0.09
0.0610421	20199	15072.1	165.664	510.111	510111	311.276	5947.79	5551.28	66615.3	0.0828265	0.0610421	18395.7	188389	0.09
0.080225	62768.4	10535.8	348.489	464.462	464462	344.474	8205.49	7658.46	91901.5	0.0708027	0.080225	19156.1	196177	0.09
0.0745496	255988	4058.88	588.25	482.09	482090	447.205	16858.6	15734.7	188816	0.0742414	0.0745496	18938.9	193953	0.09
0.0868374	68082.3	10141.6	362.636	438.123	438123	347.767	8469.89	7905.24	94862.8	0.0669672	0.0868374	19398.1	198656	0.09
